,07.02.2025 21:16:05,08.02.2025 03:22:41,09.02.2025 03:25:06,10.02.2025 03:26:32,11.02.2025 03:25:15,12.02.2025 03:24:44,13.02.2025 03:24:58,14.02.2025 03:25:08,15.02.2025 03:25:38,16.02.2025 03:27:24,17.02.2025 03:27:47,18.02.2025 03:24:25,19.02.2025 03:28:16,19.02.2025 22:12:07,20.02.2025 03:26:08,21.02.2025 03:26:40,22.02.2025 03:24:04,23.02.2025 03:27:23,24.02.2025 03:29:27,25.02.2025 03:28:57,26.02.2025 03:28:47,27.02.2025 03:29:03
12.03 - 24.03,19810,19810,19310,19810,,,19509,19766,19381,18681,19381,19632,19632,17501,17501,17495,16364,15816,16993,15861,14982,
02.04 - 14.04,21291,21291,21291,21291,21669,21794,21039,21039,21291,21291,21291,20788,20788,19359,19359,20159,18774,18774,18774,18774,18145,17768
09.04 - 21.04,20996,20996,20996,20996,,,,,,,,,,,,,,,,,,
16.04 - 28.04,22437,22437,22437,22437,22437,22437,22437,22437,22437,22437,22437,21735,21735,20969,20969,20203,19181,19181,19181,18542,17904,17265
23.04 - 05.05,22686,22686,22686,22686,22686,22686,22686,22686,22686,22686,22686,21731,21731,23132,23132,22559,22050,22050,22050,21667,20904,20394
30.04 - 12.05,23463,23463,23463,23463,23463,23590,23590,22888,22888,22888,22888,22633,22633,22352,22352,22952,22249,22249,22249,22505,22696,22441
01.05 - 13.05,24078,24078,23820,23820,23820,23820,23949,24206,24206,24206,24206,24335,24335,,,24335,23113,23113,23113,23113,23113,23163
07.05 - 19.05,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,,23507,23507,23507,23507,23507,23507,23557
14.05 - 26.05,21934,21934,21934,21934,21934,21934,21934,21805,21934,22191,22449,22964,22964,22707,22707,22707,22707,22707,22707,22707,22707,22885
21.05 - 02.06,22303,22303,22303,22303,22303,22430,22684,22684,22684,22684,22684,22684,22557,22684,22684,22557,22557,22557,22557,22557,22557,22734
28.05 - 09.06,20531,20531,20531,20531,20915,22066,22961,23217,23217,23089,23089,23089,23089,,,22961,22961,22961,22961,23217,23217,23650
04.06 - 16.06,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,,22613,22613,22613,22613,22613,22613,22663
